order_id,customer_id,product_id,order_date,quantity,unit_price,payment_method,order_status
ORD-00001,CUST-00240,PROD-0035,2025-01-01,1,18.99,PayPal,Delivered
ORD-00002,CUST-00155,PROD-0047,2025-01-02,3,23.99,Debit Card,Delivered
ORD-00003,CUST-00016,PROD-0028,2025-01-02,1,9.99,Klarna,Delivered
ORD-00004,CUST-00402,PROD-0005,2025-01-03,1,129.00,Credit Card,Delivered
ORD-00005,CUST-00351,PROD-0023,2025-01-03,1,19.50,PayPal,Delivered
ORD-00006,CUST-00413,PROD-0026,2025-01-03,2,74.99,Debit Card,Delivered
ORD-00007,CUST-00234,PROD-0005,2025-01-03,3,129.00,Credit Card,Cancelled
ORD-00008,CUST-00074,PROD-0007,2025-01-03,2,89.99,Debit Card,Delivered
ORD-00009,CUST-00398,PROD-0041,2025-01-03,2,12.99,Klarna,Delivered
ORD-00010,,PROD-0021,2025-01-04,1,38.00,Credit Card,Delivered
ORD-00011,CUST-00224,PROD-0013,2025-01-04,1,18.50,PayPal,Delivered
ORD-00012,CUST-00497,PROD-0043,2025-01-04,1,34.99,Klarna,Delivered
ORD-00013,CUST-00287,PROD-0017,2025-01-04,1,55.00,Credit Card,Delivered
ORD-00014,CUST-00063,PROD-0040,2025-01-04,2,27.50,Gift Card,Delivered
ORD-00015,CUST-00043,PROD-0043,2025-01-04,1,34.99,Debit Card,Delivered
ORD-00016,CUST-00046,PROD-0024,2025-01-05,1,19.99,Debit Card,Delivered
ORD-00017,CUST-00419,PROD-0036,2025-01-05,1,11.50,Credit Card,Delivered
ORD-00018,CUST-00383,PROD-0046,2025-01-05,2,17.99,Klarna,Cancelled
ORD-01935,CUST-00451,PROD-0022,2025-12-23,2,12.99,Credit Card,Processing
ORD-00019,CUST-00444,PROD-0026,2025-01-05,2,74.99,PayPal,Delivered
ORD-00020,CUST-00382,PROD-0041,2025-01-05,2,12.99,Debit Card,Delivered
ORD-00021,CUST-00345,PROD-0013,2025-01-05,3,18.50,Debit Card,Refunded
ORD-00022,CUST-00023,PROD-0023,2025-01-06,1,19.50,Credit Card,Delivered
ORD-00023,CUST-00438,PROD-0050,2025-01-06,2,21.00,Debit Card,Cancelled
ORD-00024,CUST-00389,PROD-0046,2025-01-06,1,17.99,PayPal,Cancelled
ORD-00025,CUST-00452,PROD-0008,2025-01-07,3,94.99,Debit Card,Cancelled
ORD-00026,CUST-00217,PROD-0026,2025-01-07,2,74.99,Klarna,Cancelled
ORD-00027,CUST-00122,PROD-0001,2025-01-07,2,59.99,Debit Card,Cancelled
ORD-00028,CUST-00210,PROD-0006,2025-01-07,1,14.99,Apple Pay,Delivered
ORD-00029,CUST-00210,PROD-0016,2025-01-07,1,21.99,Debit Card,Delivered
ORD-00030,CUST-00421,PROD-0026,2025-01-07,1,74.99,PayPal,Cancelled
ORD-00031,CUST-00097,PROD-0026,2025-01-07,1,74.99,PayPal,Delivered
ORD-00032,CUST-00186,PROD-0048,2025-01-08,2,9.49,Credit Card,Delivered
ORD-00033,CUST-00090,PROD-0009,2025-01-08,1,32.50,Debit Card,Delivered
ORD-00034,CUST-00094,PROD-0035,2025-01-08,3,18.99,Credit Card,Delivered
ORD-00035,CUST-00093,PROD-0001,2025-01-09,1,59.99,Debit Card,Delivered
ORD-00036,CUST-00446,PROD-0046,2025-01-09,2,17.99,Apple Pay,Delivered
ORD-00037,CUST-00122,PROD-0023,2025-01-09,3,19.50,Debit Card,Delivered
ORD-00038,CUST-00068,PROD-0017,2025-01-10,1,55.00,Apple Pay,Delivered
ORD-00039,CUST-00224,PROD-0050,2025-01-10,2,21.00,Credit Card,Delivered
ORD-00040,CUST-00254,PROD-0045,2025-01-10,2,13.99,PayPal,Delivered
ORD-00041,CUST-00472,PROD-0042,2025-01-11,2,26.99,PayPal,Delivered
ORD-00042,CUST-00346,PROD-0024,2025-01-12,1,19.99,Debit Card,Delivered
ORD-00043,CUST-00330,PROD-0038,2025-01-12,1,34.99,Credit Card,Delivered
ORD-00044,CUST-00189,PROD-0043,2025-01-12,2,34.99,PayPal,Delivered
ORD-00045,CUST-00081,PROD-0036,2025-01-12,2,11.50,Debit Card,Cancelled
ORD-00046,CUST-00179,PROD-0025,2025-01-12,1,17.99,Credit Card,Refunded
ORD-00047,CUST-00267,PROD-0014,2025-01-13,2,179.00,PayPal,Delivered
ORD-00048,CUST-00382,PROD-0026,2025-01-13,1,74.99,PayPal,Delivered
ORD-00049,CUST-00452,PROD-0048,2025-01-13,1,9.49,Credit Card,Delivered
ORD-00050,CUST-00351,PROD-0041,2025-01-13,5,12.99,Klarna,Delivered
ORD-00051,CUST-00087,PROD-0018,2025-01-14,1,79.99,PayPal,Delivered
ORD-00052,CUST-00179,PROD-0046,2025-01-14,5,17.99,Klarna,Delivered
ORD-00053,CUST-00230,PROD-0048,2025-01-14,2,9.49,Apple Pay,Delivered
ORD-00054,CUST-00023,PROD-0048,2025-01-14,3,9.49,Credit Card,Delivered
ORD-00055,CUST-00291,PROD-0017,2025-01-15,1,55.00,Credit Card,Delivered
ORD-00056,CUST-00140,PROD-0004,2025-01-15,4,44.99,Klarna,Returned
ORD-00057,CUST-00189,PROD-0047,2025-01-16,2,23.99,PayPal,Delivered
ORD-00058,CUST-00362,PROD-0038,2025-01-16,1,34.99,Credit Card,Delivered
ORD-00059,CUST-00175,PROD-0008,2025-01-16,1,94.99,PayPal,Delivered
ORD-00060,CUST-00418,PROD-0026,2025-01-17,1,74.99,Debit Card,Delivered
ORD-00061,CUST-00310,PROD-0002,2025-01-17,1,24.99,Credit Card,Delivered
ORD-00062,CUST-00011,PROD-0016,2025-01-17,1,21.99,PayPal,Delivered
ORD-00063,CUST-00498,PROD-0017,2025-01-17,2,55.00,Debit Card,Delivered
ORD-00064,CUST-00421,PROD-0010,2025-01-17,-1,22.99,Credit Card,Delivered
ORD-00065,CUST-00185,PROD-0046,2025-01-17,1,17.99,Debit Card,Delivered
ORD-00066,CUST-00500,PROD-0032,2025-01-18,1,14.99,Debit Card,Delivered
ORD-00067,CUST-00174,PROD-0026,19-01-2025,2,74.99,Debit Card,Delivered
ORD-00068,CUST-00285,PROD-0038,2025-01-19,1,34.99,Apple Pay,Delivered
ORD-00069,CUST-00478,PROD-0046,2025-01-19,2,17.99,Credit Card,Delivered
ORD-00070,CUST-00366,PROD-0029,2035-01-19,1,13.49,Apple Pay,Cancelled
ORD-00071,CUST-00500,PROD-0010,2025-01-19,1,22.99,Debit Card,Refunded
ORD-00072,CUST-00344,PROD-0019,2025-01-20,1,24.00,Credit Card,Delivered
ORD-00073,CUST-00382,PROD-0026,2025-01-20,1,74.99,Credit Card,Delivered
ORD-00074,CUST-00120,PROD-0002,2025-01-20,3,24.99,Credit Card,Delivered
ORD-00075,CUST-00102,PROD-0033,2025-01-20,2,24.00,Debit Card,Delivered
ORD-00076,CUST-00402,PROD-0048,2025-01-20,1,9.49,PayPal,Cancelled
ORD-00077,CUST-00335,PROD-0007,2025-01-21,1,89.99,Credit Card,Delivered
ORD-00078,CUST-00047,PROD-0013,2025-01-21,1,18.50,PayPal,Delivered
ORD-00079,CUST-00389,PROD-0046,2025-01-21,1,17.99,Debit Card,Delivered
ORD-00080,CUST-00328,PROD-0043,2025-01-22,1,34.99,Debit Card,Delivered
ORD-00081,CUST-00039,PROD-0043,2025-01-22,5,34.99,Debit Card,Delivered
ORD-00082,CUST-00031,PROD-0046,2025-01-23,2,17.99,Credit Card,Delivered
ORD-00083,CUST-00050,PROD-0041,2025-01-24,1,12.99,PayPal,cancelled
ORD-00084,CUST-00121,PROD-0020,2025-01-24,1,89.00,Debit Card,Delivered
ORD-00085,CUST-00447,PROD-0029,2025-01-25,1,13.49,Credit Card,Delivered
ORD-00086,CUST-00189,PROD-0036,2025-01-25,2,11.50,Klarna,Cancelled
ORD-00087,CUST-00300,PROD-0008,2025-01-26,1,94.99,Debit Card,Delivered
ORD-00088,CUST-00405,PROD-0043,2025-01-26,1,34.99,Debit Card,DELIVERED
ORD-00089,CUST-00246,PROD-0035,2025-01-27,1,18.99,PayPal,Delivered
ORD-00090,CUST-00402,PROD-0004,2025-01-28,4,44.99,Debit Card,Delivered
ORD-00091,CUST-00317,PROD-0034,2025-01-28,1,29.99,Debit Card,Delivered
ORD-00092,CUST-00481,PROD-0026,2025-01-28,2,74.99,Apple Pay,Delivered
ORD-00093,CUST-00359,PROD-0043,2025-01-28,1,34.99,Gift Card,Delivered
ORD-00094,CUST-00050,PROD-0040,2025-01-28,2,27.50,Gift Card,Refunded
ORD-00095,CUST-00300,PROD-0007,2025-01-28,1,89.99,Credit Card,Delivered
ORD-01257,CUST-00138,PROD-0041,2025-09-30,3,12.99,Credit Card,Delivered
ORD-00096,CUST-00481,PROD-0048,2025-01-29,1,9.49,Apple Pay,Cancelled
